,Unnamed: 0,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases
167,167,160,Aruba,36316,0,213,0,35808,0,295,0
168,168,161,Tanzania,35354,0,840,0,0,0,0,7
169,169,162,Faeroe Islands,34658,0,28,0,0,0,0,5
170,170,163,Bahamas,34274,62,810,0,32593,14,871,0
171,171,164,Lesotho,32910,0,697,0,24155,0,8058,0
172,172,165,Mali,31056,2,734,0,30161,5,161,0
173,173,166,Haiti,30746,0,835,0,29651,0,260,0
174,174,167,Isle of Man,28416,0,105,0,26794,0,1517,0
175,175,168,Benin,26952,0,163,0,25506,0,1283,5
176,176,169,Somalia,26521,0,1350,0,13182,0,11989,0
177,177,170,Saint Lucia,24957,84,370,2,23758,107,829,1
178,178,171,Cayman Islands,24477,0,28,0,8553,0,15896,1
179,179,172,Congo,24079,0,385,0,20178,0,3516,0
180,180,173,Timor-Leste,22890,0,131,0,22748,0,11,0
181,181,174,Burkina Faso,20853,0,382,0,20439,0,32,0
182,182,175,Nicaragua,18491,0,225,0,4225,0,14041,0
183,183,176,Gibraltar,18273,0,102,0,16579,0,1592,0
184,184,177,Solomon Islands,18174,0,146,0,16357,0,1671,2
185,185,178,South Sudan,17573,0,138,0,13514,0,3921,1
186,186,179,Liechtenstein,17405,8,84,0,17273,14,48,0
187,187,180,Tajikistan,17388,0,124,0,17264,0,0,0
188,188,181,Grenada,17234,88,223,0,15969,177,1042,4
189,189,182,San Marino,16991,0,115,0,16680,0,196,4
190,190,183,Equatorial Guinea,15910,0,183,0,15704,0,23,5
191,191,184,Djibouti,15631,0,189,0,15427,0,15,0
192,192,185,CAR,14649,0,113,0,6859,0,7677,2
193,193,186,Bermuda,14442,0,137,0,13945,0,360,0
194,194,187,Dominica,13116,0,63,0,12465,0,588,0
195,195,188,Samoa,12382,0,25,0,1605,0,10752,4
196,196,189,Monaco,12109,0,57,0,11983,0,69,4
197,197,190,Gambia,11999,0,365,0,11591,0,43,0
198,198,191,Greenland,11971,0,21,0,2761,0,9189,4
199,199,192,Yemen,11819,0,2149,0,9042,33,628,23
200,200,193,Tonga,11500,0,11,0,10875,0,614,0
201,201,194,Saint Martin,10602,0,63,0,1399,0,9140,7
202,202,195,Sint Maarten,10189,0,86,0,10068,0,35,10
203,203,196,Caribbean Netherlands,9986,0,35,0,9886,0,65,0
204,204,197,Eritrea,9754,0,103,0,9640,0,11,0
205,205,198,Niger,9031,0,310,0,8628,0,93,1
206,206,199,Vanuatu,8659,0,14,0,8287,0,358,0
207,207,200,Guinea-Bissau,8246,0,171,0,8029,0,46,6
208,208,201,Comoros,8100,0,160,0,7933,0,7,0
209,209,202,Antigua and Barbuda,7942,0,138,0,7623,0,181,1
210,210,203,Sierra Leone,7682,0,125,0,0,0,0,0
211,211,204,Liberia,7455,0,294,0,5747,0,1414,2
212,212,205,Chad,7415,0,193,0,4874,0,2348,0
213,213,206,St. Vincent Grenadines,6848,5,106,0,6641,0,101,0
214,214,207,British Virgin Islands,6690,0,62,0,0,0,0,1
215,215,208,Turks and Caicos,6097,0,36,0,6026,0,35,4
216,216,209,Sao Tome and Principe,5973,0,73,0,5897,0,3,0
217,217,210,Saint Kitts and Nevis,5669,0,43,0,5570,0,56,0
218,218,211,Cook Islands,5543,0,1,0,5433,0,109,0
219,219,212,Palau,4967,0,6,0,4240,0,721,1
220,220,213,St. Barth,4611,0,6,0,0,0,0,0
221,221,214,Anguilla,3116,0,9,0,3042,0,65,4
222,222,215,Kiribati,3098,0,13,0,2602,0,483,3
223,223,216,Saint Pierre Miquelon,2748,0,1,0,2449,0,298,1
224,224,217,Falkland Islands,1512,0,0,0,0,0,0,0
225,225,218,Montserrat,915,0,4,0,749,0,162,0
226,226,219,Diamond Princess,712,0,13,0,699,0,0,0
227,227,220,Wallis and Futuna,454,0,7,0,438,0,9,0
228,228,221,Macao,82,0,0,0,82,0,0,0
229,229,222,Vatican City,29,0,0,0,29,0,0,0
230,230,223,Marshall Islands,17,0,0,0,14,0,3,0
231,231,224,Western Sahara,10,0,1,0,9,0,0,0
232,232,225,MS Zaandam,9,0,2,0,7,0,0,0
233,233,226,Niue,9,0,0,0,9,0,0,0
234,234,227,Nauru,8,0,0,0,5,0,3,0
235,235,228,Micronesia,7,0,0,0,1,0,6,0
236,236,229,Saint Helena,2,0,0,0,2,0,0,0
